card_type,"Type de Carte de Crédit"
card_num,"Numéro de Carte de Crédit"
reference_no,"Numéro de Réference"
response_code,"Code de Réponse"
transaction_date_time,"Date/Heure de la Transaction"
wallet_type,"Type de Portefeuille"
Continue,"Continuer"
